Month,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
January,0,0,0,0,0,6,15,0,13,92,26,38,199,32,126,
February,0,0,0,0,0,7,7,0,3,58,7,18,45,9,20,
March,0,0,0,0,0,3,2,2,17,36,19,17,27,13,20,
April,0,0,0,0,0,3,0,6,38,73,29,58,25,3,23,
May,0,1,0,0,0,12,8,10,70,134,52,193,10,43,163,
June,0,0,0,61,10,50,9,28,254,267,295,1884,20,272,737,
July,160,4,61,255,129,172,82,171,926,286,946,"16,253",23,2286,1571,
August,473,125,183,691,122,339,80,765,1451,346,1796,"52,636",68,7698,3521,
September,334,188,120,193,246,385,76,965,1544,430,3087,"16,856",47,7841,9911,
October,184,154,45,114,107,501,63,869,1077,512,2406,8143,164,5458,"21,932",
November,0,0,0,36,27,218,22,271,522,409,1192,4011,546,3567,"19,334",
December,0,0,0,9,0,53,11,75,145,126,293,1247,231,1207,3731,
